Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.39     0.00  1696844     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      4.39     0.00  1696844     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*)
  0.00      4.39     0.00  1696844     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
  0.00      4.39     0.00  1696844     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.00      4.39     0.00  1696844     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*)
  0.00      4.39     0.00  1327059     0.00     0.00  operator new(unsigned int, void*)
  0.00      4.39     0.00  1265236     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::new_allocator()
  0.00      4.39     0.00  1265236     0.00     0.00  __gnu_cxx::new_allocator<Operation*>::~new_allocator()
  0.00      4.39     0.00  1189895     0.00     0.00  std::_Niter_base<Operation**>::iterator_type std::__niter_base<Operation**>(Operation**)
  0.00      4.39     0.00  1142813     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      4.39     0.00  1095251     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_get_Node_allocator() const
  0.00      4.39     0.00  1095251     0.00     0.00  std::allocator<Operation*>::allocator<std::_List_node<Operation*> >(std::allocator<std::_List_node<Operation*> > const&)
  0.00      4.39     0.00  1095251     0.00     0.00  std::allocator<Operation*>::~allocator()
  0.00      4.39     0.00  1087736     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_get_Tp_allocator() const
  0.00      4.39     0.00  1087736     0.00     0.00  Operation** std::__addressof<Operation*>(Operation*&)
  0.00      4.39     0.00  1061100     0.00     0.00  std::pair<Operation*, Operation*>* std::__addressof<std::pair<Operation*, Operation*> >(std::pair<Operation*, Operation*>&)
  0.00      4.39     0.00  1045083     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      4.39     0.00  1033115     0.00     0.00  __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >::__normal_iterator(Operation* const&)
  0.00      4.39     0.00  1019910     0.00     0.00  std::vector<Operation*, std::allocator<Operation*> >::size() const
  0.00      4.39     0.00  1016947     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      4.39     0.00   950848     0.00     0.00  Operation::getNumeroJob() const
  0.00      4.39     0.00   929730     0.00     0.00  __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >::base() const
  0.00      4.39     0.00   894516     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      4.39     0.00   849925     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned int)
